   8 draws    1248 prim model=00000000 cam=0000 ovl=0 ctxlod=[0] no census row nodes=0+1nocensus  body=-
   6 draws   10362 prim model=00004a88 cam=1818 ovl=0 ctxlod=[0] lods=4 thr=100000,30,15,5 nodes=6+0nocensus s=45,d=17243,r=1236,lod=0,kept s=45,d=17245,r=1236,lod=0,kept s=51,d=15459,r=1236,lod=0,kept body=ships\props\weapondummy
   6 draws     360 prim model=00005412 cam=1818 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=6+0nocensus s=14,d=1876634,r=42080,lod=0,kept s=14,d=1891499,r=42080,lod=0,kept s=15,d=1694484,r=42080,lod=0,kept body=stations\connections\connect_argon_pipe_medium_cargo_cargoanimB
   5 draws     670 prim model=35b42b44 cam=1818 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=5+0nocensus s=5,d=2055833,r=17366,lod=0,kept s=5,d=2059202,r=17366,lod=0,kept s=5,d=2077395,r=17366,lod=0,kept body=-
   4 draws    3968 prim model=000050e9 cam=1fb0 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=1+0nocensus s=117440512,d=0,r=5000000,lod=0,kept body=environments\nebulae\greenvoid\nebula_greenvoid_background_01
   4 draws     640 prim model=00005422 cam=1818 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=4+0nocensus s=12,d=7043924,r=140475,lod=0,kept s=12,d=7083520,r=140475,lod=0,kept s=13,d=6750934,r=140475,lod=0,kept body=stations\connections\connect_argon_pipe_huge_cargoanimB_
   4 draws   94502 prim model=0000542b cam=1818 ovl=1 ctxlod=[1] lods=3 thr=100000,250,184 nodes=1+0nocensus s=52,d=6915261,r=572549,lod=1,kept body=stations\station_scenes\tech\argon_tech_M_laser_G
   3 draws       6 prim model=00005691 cam=b360 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=3+0nocensus s=117440512,d=0,r=32,lod=0,kept s=117440512,d=34,r=32,lod=0,kept s=117440512,d=70,r=32,lod=0,kept body=effects/menugfx/hud_target_text
   2 draws    9834 prim model=00004fea cam=1818 ovl=0 ctxlod=[0] lods=4 thr=100000,30,15,5 nodes=1+0nocensus s=187,d=17110,r=5013,lod=0,kept body=ships\argon\argon_M3_var2
   2 draws       4 prim model=00005696 cam=42f8 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=117440512,d=0,r=98,lod=0,kept body=effects/menugfx/hud_radar_2d
   1 draws     768 prim model=000050e8 cam=1fb0 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=1+0nocensus s=117440512,d=0,r=5000000,lod=0,kept body=environments\nebulae\greenvoid\nebula_greenvoid_stars_01
   1 draws     360 prim model=00004e86 cam=1818 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=1+0nocensus s=212,d=12573,r=4170,lod=0,kept body=effects\engines\fx_engine_argon_M3
   1 draws       2 prim model=0000568f cam=5cd0 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=117440512,d=89,r=512,lod=0,kept body=effects/menugfx/GUI/blackpearl
   1 draws       2 prim model=00005697 cam=42f8 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=117440512,d=0,r=256,lod=0,kept body=effects/menugfx/hud_info_2d
   1 draws       2 prim model=00005698 cam=42f8 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=117440512,d=206,r=256,lod=0,kept body=effects/menugfx/hud_weapons_2d
   1 draws       2 prim model=0000569b cam=7100 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=640,d=1024,r=1024,lod=0,kept body=effects/menugfx/GUI/sidebar
   1 draws       2 prim model=0000568d cam=fb70 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=435,d=753,r=512,lod=0,kept body=effects\menugfx\GUI\gui_master
